,ID_ANONIMO,CR,PERIODO,INGRESSO,CODIGO,ANO,PERIODO.1,NOTA,CH,SITUACAOALUNO
29599,190499,"0,8264",10,02/03/17,ES70G,2019,1,"9,8",45,Formado
29617,190499,"0,8264",10,02/03/17,CSB30,2019,1,"8,5",60,Formado
29618,190499,"0,8264",10,02/03/17,CSA30,2019,1,"8,6",45,Formado
29626,190499,"0,8264",10,02/03/17,EEF21,2019,1,8,30,Formado
29631,190499,"0,8264",10,02/03/17,CSG20,2019,1,"9,8",45,Formado
29646,190499,"0,8264",10,02/03/17,CSR31,2019,1,"7,3",30,Formado
29568,190499,"0,8264",10,02/03/17,CSI30,2019,2,"7,8",45,Formado
29575,190499,"0,8264",10,02/03/17,EEQ32,2019,2,"7,5",45,Formado
29577,190499,"0,8264",10,02/03/17,EEX22,2019,2,"9,2",45,Formado
29630,190499,"0,8264",10,02/03/17,CSE30,2019,2,"8,4",60,Formado
29632,190499,"0,8264",10,02/03/17,CSA31,2019,2,"9,1",45,Formado
29637,190499,"0,8264",10,02/03/17,CSO30,2019,2,10,60,Formado
29648,190499,"0,8264",10,02/03/17,CSW40,2019,2,"8,1",60,Formado
29570,190499,"0,8264",10,02/03/17,CSX54,2020,1,9,400,Formado
29573,190499,"0,8264",10,02/03/17,ELF74,2020,1,-1,60,Formado
29589,190499,"0,8264",10,02/03/17,ES70P,2020,1,-1,45,Formado
29603,190499,"0,8264",10,02/03/17,EL68A,2020,1,-1,60,Formado
29607,190499,"0,8264",10,02/03/17,CSR30,2020,1,-1,45,Formado
29621,190499,"0,8264",10,02/03/17,QB70E,2020,1,"9,5",30,Formado
29643,190499,"0,8264",10,02/03/17,EEE32,2020,1,-1,60,Formado
29588,190499,"0,8264",10,02/03/17,ES70P,2020,2,"9,2",45,Formado
29590,190499,"0,8264",10,02/03/17,GE70H,2020,2,"8,6",30,Formado
29602,190499,"0,8264",10,02/03/17,EL66E,2020,2,"8,6",120,Formado
29606,190499,"0,8264",10,02/03/17,CSR30,2020,2,"8,7",45,Formado
29628,190499,"0,8264",10,02/03/17,EEF31,2020,2,8,30,Formado
29639,190499,"0,8264",10,02/03/17,ED70T,2020,2,"7,9",30,Formado
29642,190499,"0,8264",10,02/03/17,EEE32,2020,2,"8,6",60,Formado
29569,190499,"0,8264",10,02/03/17,EEX23,2021,1,"8,9",45,Formado
29574,190499,"0,8264",10,02/03/17,ELF62,2021,1,10,60,Formado
29582,190499,"0,8264",10,02/03/17,ED70U,2021,1,8,30,Formado
29592,190499,"0,8264",10,02/03/17,ES70N,2021,1,"8,2",30,Formado
29608,190499,"0,8264",10,02/03/17,CSS30,2021,1,"7,5",60,Formado
29625,190499,"0,8264",10,02/03/17,CSR41,2021,1,"7,8",60,Formado
29627,190499,"0,8264",10,02/03/17,CSX53,2021,1,0,180,Formado
29634,190499,"0,8264",10,02/03/17,CSI53,2021,1,0,45,Formado
29638,190499,"0,8264",10,02/03/17,EEC21,2021,1,10,60,Formado
29580,190499,"0,8264",10,02/03/17,CSW41,2021,2,0,60,Formado
