Source,Target,Type,Id,Label,Weight
EEX22-2020/2,GE70H-2021/1,Directed,199,,1
EEX22-2020/2,ES70G-2021/1,Directed,200,,1
EEX22-2020/2,GE70D-2021/1,Directed,201,,1
EEX22-2020/2,ELB23-2021/1,Directed,202,,1
EEX22-2020/2,EEX23-2021/1,Directed,203,,1
EEX22-2020/2,EEF21-2021/1,Directed,204,,1
EEX22-2020/2,EEF31-2021/1,Directed,205,,1
EEX22-2020/2,CSE30-2021/1,Directed,206,,1
EEX22-2020/1,FI74M-2020/2,Directed,207,,1
EEX22-2020/1,EL66E-2020/2,Directed,208,,1
EEX22-2020/1,EEX22-2020/2,Directed,209,,1
EEX22-2020/1,FI74S-2020/2,Directed,210,,1
EEX22-2020/1,EEE32-2020/2,Directed,211,,1
EEX22-2020/1,CSX54-2020/2,Directed,212,,1
EEE31-2019/2,EEX22-2020/1,Directed,213,,1
EEE31-2019/2,CSW40-2020/1,Directed,214,,1
EEE31-2019/2,CSI30-2020/1,Directed,215,,1
EEE31-2019/2,CSX54-2020/1,Directed,216,,1
EEE31-2019/2,CSE30-2020/1,Directed,217,,1
EEE31-2019/2,CSA31-2020/1,Directed,218,,1
EEE31-2019/2,CSO30-2020/1,Directed,219,,1
CSW30-2019/2,EEX22-2020/1,Directed,220,,1
CSW30-2019/2,CSW40-2020/1,Directed,221,,1
CSW30-2019/2,CSI30-2020/1,Directed,222,,1
CSW30-2019/2,CSX54-2020/1,Directed,223,,1
CSW30-2019/2,CSE30-2020/1,Directed,224,,1
CSW30-2019/2,CSA31-2020/1,Directed,225,,1
CSW30-2019/2,CSO30-2020/1,Directed,226,,1
FI74S-2020/2,QB70E-2021/1,Directed,227,,1
FI74S-2020/2,GE70H-2021/1,Directed,228,,1
FI74S-2020/2,ES70G-2021/1,Directed,229,,1
FI74S-2020/2,GE70D-2021/1,Directed,230,,1
FI74S-2020/2,ELB23-2021/1,Directed,231,,1
FI74S-2020/2,EEX23-2021/1,Directed,232,,1
FI74S-2020/2,EEF21-2021/1,Directed,233,,1
FI74S-2020/2,EEF31-2021/1,Directed,234,,1
FI74S-2020/2,CSE30-2021/1,Directed,235,,1
CSW41-2022/1,ENADE C-2022/2,Directed,236,,1
