Source,Target,Type,Id,Label,Weight
EEQ32,CSX42,Directed,274,,1
EEQ32,CSH42,Directed,275,,1
EEQ32,EEC31,Directed,276,,1
EEQ32,EL77A,Directed,277,,1
EEQ32,CSS30,Directed,278,,1
EEQ32,DI84D,Directed,279,,1
CSM44,ENADE C,Directed,280,,1
CSM44,CSM45,Directed,281,,1
CSM44,CSM41,Directed,282,,1
CSM44,CSX43,Directed,283,,1
CSM44,CSX53,Directed,284,,1
FI71S,FI72M,Directed,285,,1
FI71S,QB70C,Directed,286,,1
FI71S,MA72A,Directed,287,,1
FI71S,EEX11,Directed,288,,1
FI71S,FI72S,Directed,289,,1
FI71S,CSE20,Directed,290,,1
FI71S,CSF20,Directed,291,,1
FI71S,FI72N,Directed,292,,1
EEE32,QB70E,Directed,293,,1
EEE32,GE70H,Directed,294,,1
EEE32,ES70G,Directed,295,,1
EEE32,GE70D,Directed,296,,1
EEE32,ELB23,Directed,297,,1
EEE32,EEX23,Directed,298,,1
EEE32,EEF21,Directed,299,,1
EEE32,EEF31,Directed,300,,1
EEE32,CSE30,Directed,301,,1
CSR31,EEX22,Directed,302,,1
CSR31,CSW40,Directed,303,,1
CSR31,CSI30,Directed,304,,1
CSR31,CSX54,Directed,305,,1
CSR31,CSE30,Directed,306,,1
CSR31,CSA31,Directed,307,,1
CSR31,CSO30,Directed,308,,1
EEQ31,EEE31,Directed,309,,1
EEQ31,CSW30,Directed,310,,1
EEQ31,CSR31,Directed,311,,1
EEQ31,CSG20,Directed,312,,1
EEQ31,CSB30,Directed,313,,1
EEQ31,CSA30,Directed,314,,1
CSW40,FI74M,Directed,315,,1
CSW40,EL66E,Directed,316,,1
CSW40,EEX22,Directed,317,,1
CSW40,FI74S,Directed,318,,1
CSW40,EEE32,Directed,319,,1
CSW40,CSX54,Directed,320,,1
CSX42,ENADE C,Directed,321,,1
CSX42,CSM45,Directed,322,,1
CSX42,CSM41,Directed,323,,1
CSX42,CSX43,Directed,324,,1
CSX42,CSX53,Directed,325,,1
CSI30,GE73D,Directed,326,,1
CSI30,CSW41,Directed,327,,1
CSI30,CSM44,Directed,328,,1
CSI30,CSX42,Directed,329,,1
CSI30,CSH42,Directed,330,,1
CSI30,EEC31,Directed,331,,1
CSI30,EL77A,Directed,332,,1
CSI30,CSS30,Directed,333,,1
CSI30,DI84D,Directed,334,,1
CSI30,FI74M,Directed,335,,1
CSI30,EL66E,Directed,336,,1
CSI30,EEX22,Directed,337,,1
CSI30,FI74S,Directed,338,,1
CSI30,EEE32,Directed,339,,1
CSI30,CSX54,Directed,340,,1
EEX23,ES70P,Directed,341,,1
EEX23,DI65H,Directed,342,,1
EEX23,ELF51,Directed,343,,1
EEX23,ELTE3,Directed,344,,1
EEX23,ELF62,Directed,345,,1
EEX23,EEC21,Directed,346,,1
EEX23,EEQ32,Directed,347,,1
EEX23,CSI30,Directed,348,,1
EEX23,CSH30,Directed,349,,1
EEX23,CSW42,Directed,350,,1
EEX23,CSR30,Directed,351,,1
CSH42,ENADE C,Directed,352,,1
CSH42,CSM45,Directed,353,,1
