('EEE31', 'CSE30', {'weight': 1})
('EEE31', 'CSA31', {'weight': 1})
('EEE31', 'CSO30', {'weight': 1})
('CSW30', 'EEX22', {'weight': 1})
('CSW30', 'CSW40', {'weight': 1})
('CSW30', 'CSI30', {'weight': 1})
('CSW30', 'CSX54', {'weight': 1})
('CSW30', 'CSE30', {'weight': 1})
('CSW30', 'CSA31', {'weight': 1})
('CSW30', 'CSO30', {'weight': 1})
('FI74S', 'QB70E', {'weight': 1})
('FI74S', 'GE70H', {'weight': 1})
('FI74S', 'ES70G', {'weight': 1})
('FI74S', 'GE70D', {'weight': 1})
('FI74S', 'ELB23', {'weight': 1})
('FI74S', 'EEX23', {'weight': 1})
('FI74S', 'EEF21', {'weight': 1})
('FI74S', 'EEF31', {'weight': 1})
('FI74S', 'CSE30', {'weight': 1})
('CSW41', 'ENADE C', {'weight': 1})
('CSW41', 'CSM45', {'weight': 1})
('CSW41', 'CSM41', {'weight': 1})
('CSW41', 'CSX43', {'weight': 1})
('CSW41', 'CSX53', {'weight': 1})
('EEX11', 'MA70G', {'weight': 1})
('EEX11', 'MA70H', {'weight': 1})
('EEX11', 'MA73A', {'weight': 1})
('EEX11', 'EEX21', {'weight': 1})
('EEX11', 'EEB21', {'weight': 1})
('EEX11', 'FI73M', {'weight': 1})
('EEX11', 'CSF30', {'weight': 1})
('EEF11', 'EEE31', {'weight': 1})
('EEF11', 'CSW30', {'weight': 1})
('EEF11', 'CSR31', {'weight': 1})
('EEF11', 'CSG20', {'weight': 1})
('EEF11', 'CSB30', {'weight': 1})
('EEF11', 'CSA30', {'weight': 1})
('EEX21', 'FI74N', {'weight': 1})
('EEX21', 'EEF11', {'weight': 1})
('EEX21', 'EEQ31', {'weight': 1})
('EEX21', 'FI73S', {'weight': 1})
('EEX21', 'EEB31', {'weight': 1})
('EEX21', 'EEB22', {'weight': 1})
('EEX21', 'FI73M', {'weight': 1})
('EEX21', 'CSD21', {'weight': 1})
('EEC21', 'GE73D', {'weight': 1})
('EEC21', 'CSW41', {'weight': 1})
('EEC21', 'CSM44', {'weight': 1})
('EEC21', 'CSX42', {'weight': 1})
('EEC21', 'CSH42', {'weight': 1})
('EEC21', 'EEC31', {'weight': 1})
('EEC21', 'EL77A', {'weight': 1})
('EEC21', 'CSS30', {'weight': 1})
('EEC21', 'DI84D', {'weight': 1})
('EEQ32', 'GE73D', {'weight': 1})
('EEQ32', 'CSW41', {'weight': 1})
('EEQ32', 'CSM44', {'weight': 1})
('EEQ32', 'CSX42', {'weight': 1})
('EEQ32', 'CSH42', {'weight': 1})
('EEQ32', 'EEC31', {'weight': 1})
('EEQ32', 'EL77A', {'weight': 1})
('EEQ32', 'CSS30', {'weight': 1})
('EEQ32', 'DI84D', {'weight': 1})
('CSM44', 'ENADE C', {'weight': 1})
('CSM44', 'CSM45', {'weight': 1})
('CSM44', 'CSM41', {'weight': 1})
('CSM44', 'CSX43', {'weight': 1})
('CSM44', 'CSX53', {'weight': 1})
('FI71S', 'FI72M', {'weight': 1})
('FI71S', 'QB70C', {'weight': 1})
('FI71S', 'MA72A', {'weight': 1})
('FI71S', 'EEX11', {'weight': 1})
('FI71S', 'FI72S', {'weight': 1})
('FI71S', 'CSE20', {'weight': 1})
('FI71S', 'CSF20', {'weight': 1})
('FI71S', 'FI72N', {'weight': 1})
('EEE32', 'QB70E', {'weight': 1})
('EEE32', 'GE70H', {'weight': 1})
('EEE32', 'ES70G', {'weight': 1})
('EEE32', 'GE70D', {'weight': 1})
('EEE32', 'ELB23', {'weight': 1})
('EEE32', 'EEX23', {'weight': 1})
('EEE32', 'EEF21', {'weight': 1})
('EEE32', 'EEF31', {'weight': 1})
('EEE32', 'CSE30', {'weight': 1})
('CSR31', 'EEX22', {'weight': 1})
('CSR31', 'CSW40', {'weight': 1})
('CSR31', 'CSI30', {'weight': 1})
('CSR31', 'CSX54', {'weight': 1})
('CSR31', 'CSE30', {'weight': 1})
('CSR31', 'CSA31', {'weight': 1})
('CSR31', 'CSO30', {'weight': 1})
('EEQ31', 'EEE31', {'weight': 1})
('EEQ31', 'CSW30', {'weight': 1})
('EEQ31', 'CSR31', {'weight': 1})
('EEQ31', 'CSG20', {'weight': 1})
('EEQ31', 'CSB30', {'weight': 1})
('EEQ31', 'CSA30', {'weight': 1})
('CSW40', 'FI74M', {'weight': 1})
('CSW40', 'EL66E', {'weight': 1})
('CSW40', 'EEX22', {'weight': 1})
('CSW40', 'FI74S', {'weight': 1})
('CSW40', 'EEE32', {'weight': 1})
('CSW40', 'CSX54', {'weight': 1})
('CSX42', 'ENADE C', {'weight': 1})
('CSX42', 'CSM45', {'weight': 1})
('CSX42', 'CSM41', {'weight': 1})
('CSX42', 'CSX43', {'weight': 1})
('CSX42', 'CSX53', {'weight': 1})
('CSI30', 'GE73D', {'weight': 1})
('CSI30', 'CSW41', {'weight': 1})
('CSI30', 'CSM44', {'weight': 1})
('CSI30', 'CSX42', {'weight': 1})
('CSI30', 'CSH42', {'weight': 1})
('CSI30', 'EEC31', {'weight': 1})
('CSI30', 'EL77A', {'weight': 1})
('CSI30', 'CSS30', {'weight': 1})
('CSI30', 'DI84D', {'weight': 1})
('CSI30', 'FI74M', {'weight': 1})
('CSI30', 'EL66E', {'weight': 1})
('CSI30', 'EEX22', {'weight': 1})
('CSI30', 'FI74S', {'weight': 1})
('CSI30', 'EEE32', {'weight': 1})
('CSI30', 'CSX54', {'weight': 1})
('EEX23', 'ES70P', {'weight': 1})
('EEX23', 'DI65H', {'weight': 1})
('EEX23', 'ELF51', {'weight': 1})
('EEX23', 'ELTE3', {'weight': 1})
('EEX23', 'ELF62', {'weight': 1})
('EEX23', 'EEC21', {'weight': 1})
('EEX23', 'EEQ32', {'weight': 1})
('EEX23', 'CSI30', {'weight': 1})
('EEX23', 'CSH30', {'weight': 1})
('EEX23', 'CSW42', {'weight': 1})
('EEX23', 'CSR30', {'weight': 1})
('CSH42', 'ENADE C', {'weight': 1})
('CSH42', 'CSM45', {'weight': 1})
('CSH42', 'CSM41', {'weight': 1})
('CSH42', 'CSX43', {'weight': 1})
('CSH42', 'CSX53', {'weight': 1})
('CSX54', 'QB70E', {'weight': 1})
('CSX54', 'GE70H', {'weight': 1})
('CSX54', 'ES70G', {'weight': 1})
('CSX54', 'GE70D', {'weight': 1})
('CSX54', 'ELB23', {'weight': 1})
('CSX54', 'EEX23', {'weight': 1})
('CSX54', 'EEF21', {'weight': 1})
('CSX54', 'EEF31', {'weight': 1})
('CSX54', 'CSE30', {'weight': 1})
('CSX54', 'FI74M', {'weight': 1})
('CSX54', 'EL66E', {'weight': 1})
('CSX54', 'EEX22', {'weight': 1})
('CSX54', 'FI74S', {'weight': 1})
('CSX54', 'EEE32', {'weight': 1})
('CSX54', 'CSX54', {'weight': 1})
('FI72S', 'MA70G', {'weight': 1})
('FI72S', 'MA70H', {'weight': 1})
('FI72S', 'MA73A', {'weight': 1})
('FI72S', 'EEX21', {'weight': 1})
('FI72S', 'EEB21', {'weight': 1})
('FI72S', 'FI73M', {'weight': 1})
('FI72S', 'CSF30', {'weight': 1})
('FI73S', 'EEE31', {'weight': 1})
('FI73S', 'CSW30', {'weight': 1})
('FI73S', 'CSR31', {'weight': 1})
('FI73S', 'CSG20', {'weight': 1})
('FI73S', 'CSB30', {'weight': 1})
('FI73S', 'CSA30', {'weight': 1})
('EEF21', 'ES70P', {'weight': 1})
('EEF21', 'DI65H', {'weight': 1})
('EEF21', 'ELF51', {'weight': 1})
('EEF21', 'ELTE3', {'weight': 1})
('EEF21', 'ELF62', {'weight': 1})
('EEF21', 'EEC21', {'weight': 1})
('EEF21', 'EEQ32', {'weight': 1})
('EEF21', 'CSI30', {'weight': 1})
('EEF21', 'CSH30', {'weight': 1})
('EEF21', 'CSW42', {'weight': 1})
('EEF21', 'CSR30', {'weight': 1})
('EEF31', 'ES70P', {'weight': 1})
('EEF31', 'DI65H', {'weight': 1})
('EEF31', 'ELF51', {'weight': 1})
('EEF31', 'ELTE3', {'weight': 1})
('EEF31', 'ELF62', {'weight': 1})
('EEF31', 'EEC21', {'weight': 1})
('EEF31', 'EEQ32', {'weight': 1})
('EEF31', 'CSI30', {'weight': 1})
('EEF31', 'CSH30', {'weight': 1})
('EEF31', 'CSW42', {'weight': 1})
('EEF31', 'CSR30', {'weight': 1})
('EEB31', 'EEE31', {'weight': 1})
('EEB31', 'CSW30', {'weight': 1})
('EEB31', 'CSR31', {'weight': 1})
('EEB31', 'CSG20', {'weight': 1})
('EEB31', 'CSB30', {'weight': 1})
('EEB31', 'CSA30', {'weight': 1})
('CSE30', 'FI74M', {'weight': 1})
('CSE30', 'EL66E', {'weight': 1})
('CSE30', 'EEX22', {'weight': 1})
('CSE30', 'FI74S', {'weight': 1})
('CSE30', 'EEE32', {'weight': 1})
('CSE30', 'CSX54', {'weight': 1})
('CSE30', 'ES70P', {'weight': 1})
('CSE30', 'DI65H', {'weight': 1})
('CSE30', 'ELF51', {'weight': 1})
('CSE30', 'ELTE3', {'weight': 1})
('CSE30', 'ELF62', {'weight': 1})
('CSE30', 'EEC21', {'weight': 1})
('CSE30', 'EEQ32', {'weight': 1})
('CSE30', 'CSI30', {'weight': 1})
('CSE30', 'CSH30', {'weight': 1})
('CSE30', 'CSW42', {'weight': 1})
('CSE30', 'CSR30', {'weight': 1})
('CSG20', 'EEX22', {'weight': 1})
('CSG20', 'CSW40', {'weight': 1})
('CSG20', 'CSI30', {'weight': 1})
('CSG20', 'CSX54', {'weight': 1})
('CSG20', 'CSE30', {'weight': 1})
('CSG20', 'CSA31', {'weight': 1})
('CSG20', 'CSO30', {'weight': 1})
('CSH30', 'GE73D', {'weight': 1})
('CSH30', 'CSW41', {'weight': 1})
('CSH30', 'CSM44', {'weight': 1})
('CSH30', 'CSX42', {'weight': 1})
('CSH30', 'CSH42', {'weight': 1})
('CSH30', 'EEC31', {'weight': 1})
('CSH30', 'EL77A', {'weight': 1})
('CSH30', 'CSS30', {'weight': 1})
('CSH30', 'DI84D', {'weight': 1})
('CSA31', 'FI74M', {'weight': 1})
('CSA31', 'EL66E', {'weight': 1})
('CSA31', 'EEX22', {'weight': 1})
('CSA31', 'FI74S', {'weight': 1})
('CSA31', 'EEE32', {'weight': 1})
('CSA31', 'CSX54', {'weight': 1})
('CSW42', 'GE73D', {'weight': 1})
('CSW42', 'CSW41', {'weight': 1})
('CSW42', 'CSM44', {'weight': 1})
('CSW42', 'CSX42', {'weight': 1})
('CSW42', 'CSH42', {'weight': 1})
('CSW42', 'EEC31', {'weight': 1})
('CSW42', 'EL77A', {'weight': 1})
('CSW42', 'CSS30', {'weight': 1})
('CSW42', 'DI84D', {'weight': 1})
('EEB21', 'FI74N', {'weight': 1})
('EEB21', 'EEF11', {'weight': 1})
('EEB21', 'EEQ31', {'weight': 1})
('EEB21', 'FI73S', {'weight': 1})
('EEB21', 'EEB31', {'weight': 1})
('EEB21', 'EEB22', {'weight': 1})
('EEB21', 'FI73M', {'weight': 1})
('EEB21', 'CSD21', {'weight': 1})
('EEC31', 'ENADE C', {'weight': 1})
('EEC31', 'CSM45', {'weight': 1})
('EEC31', 'CSM41', {'weight': 1})
('EEC31', 'CSX43', {'weight': 1})
('EEC31', 'CSX53', {'weight': 1})
('EEB22', 'EEE31', {'weight': 1})
('EEB22', 'CSW30', {'weight': 1})
('EEB22', 'CSR31', {'weight': 1})
('EEB22', 'CSG20', {'weight': 1})
('EEB22', 'CSB30', {'weight': 1})
('EEB22', 'CSA30', {'weight': 1})
('EL77A', 'ENADE C', {'weight': 1})
('EL77A', 'CSM45', {'weight': 1})
('EL77A', 'CSM41', {'weight': 1})
('EL77A', 'CSX43', {'weight': 1})
('EL77A', 'CSX53', {'weight': 1})
