Período,[OPT],Código,Disciplina,Modelo de disciplina,Aulas teóricas semanais,Aulas práticas semanais,Total de aulas semanais,Total de aulas de APS,Total de aulas de APCC,Total de horas de AD,Total de horas de CHEXT,Total de horas CHEAD,Carga horária total,Pré-requisito(s),Disciplina_EQ,CHT_EQ,Grupo_EQ
 7,,EEQ32,PROCESSAMENTO DIGITAL DE SINAIS,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,6,0,0,45,EEQ31,"ELEQ31 ELF51 EL66D","45 60 60",
 7,,ES70P,FILOSOFIA DA CIÊNCIA E DA TECNOLOGIA,FORMAÇÃO HUMANISTICA,3,0,3,3,0,0,0,0,45,ES70G,FCH7FA,45,
 8,[963],CSA40,ALGORITMOS E COMPLEXIDADE,FORMAÇÃO PROFISSIONAL,0,4,4,4,0,0,0,0,60,CSA31,"ICSA46 IF6AT","60 60",
 8,[963],CSA41,COMPLEXIDADE COMPUTACIONAL,FORMAÇÃO PROFISSIONAL,4,0,4,4,0,0,0,0,60,CSA31,ICSA41,60,
 8,[963],CSA42,TEORIA DOS GRAFOS,FORMAÇÃO PROFISSIONAL,0,4,4,4,0,0,0,0,60,CSA31,"ICSA48 IF6AV","60 60",
 8,[963],CSA43,COMPUTAÇÃO QUÂNTICA,FORMAÇÃO PROFISSIONAL,0,4,4,4,0,0,0,0,60,CSA31,"ICSA47 IF6BB","60 60",
 8,[963],CSA44,INTRODUÇÃO À CRIPTOGRAFIA,FORMAÇÃO PROFISSIONAL,0,4,4,4,0,0,0,0,60,"CSA30 MA71B","ICSA49 IF6CL","60 60",
 8,[963],CSA45,GEOMETRIA COMPUTACIONAL,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSA30 MA71B",ICSA4A,60,
 8,[968],CSB40,BIBLIOTECAS DIGITAIS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSB30,IF6CI,60,
 8,[968],CSB41,BANCO DE DADOS 2,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSB30,"ICSB41 IF66E","60 45",
 8,[968],CSB42,COMPUTAÇÃO BASEADA EM DADOS,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSB30,,,
