CSV43,PROCESSAMENTO DIGITAL DE IMAGENS 2

CSV45,RECONHECIMENTO DE PADRÕES EM IMAGENS

CSV50,COMPUTAÇÃO GRÁFICA 2

CSV52,VISÃO COMPUTACIONAL

CSV53,FUNDAMENTOS DO PROCESSAMENTO DE IMAGENS MÉDICAS

CSW43,ARQUITETURA AVANÇADA DE COMPUTADORES

CSW44,ARQUITETURA DE COMPUTADORES PARALELOS

CSW45,ROBÓTICA MÓVEL

CSW46,ENGENHARIA DE SISTEMAS APLICADA A SISTEMAS CIBERFÍSICOS

CSW47,SISTEMAS DE TEMPO REAL

CSW48,LABORATÓRIO DE PROCESSAMENTO DIGITAL DE SINAIS

CSW49,LÓGICA PROGRAMÁVEL E VHDL

CSW55,TÓPICOS AVANÇADOS EM SISTEMAS EMBARCADOS

CSW56,PROGRAMAÇÃO ORIENTADA A NOTIFICAÇÕES

DI84D,Web Design

ED70T,LIBRAS A

ED70U,LIBRAS B

EEC31,LABORATÓRIO DE CONTROLE DISCRETO

EEC41,CONTROLE SUPERVISÓRIO

EEC42,CONTROLE INTELIGENTE

EEC43,IDENTIFICAÇÃO DE SISTEMAS

EEC44,CONTROLE 3

EEC45,CONTROLE 4

EEC46,CONTROLE À EVENTOS DISCRETOS

EEL51,FOTÔNICA

EES41,INTRODUÇÃO À MICROELETRÔNICA

EEX23,OFICINA DE INTEGRAÇÃO 3

EEY41,ENGENHARIA BIOMÉDICA

EEY42,BIOENGENHARIA

EEY43,ENGENHARIA MÉDICA

EEY44,ENGENHARIA CLÍNICA

EEY51,INSTRUMENTAÇÃO E TRANSDUÇÃO BIOMÉDICA I

EEY52,INSTRUMENTAÇÃO E TRANSDUÇÃO BIOMÉDICA II

ELH03,DESIGN THINKING PARA DESENVOLVIMENTO DE NOVOS PRODUTOS

ELSC01,SMART CHALLENGES

ELSP01,SMART PROJECTS

EL6AE,INTRODUÇÃO À ROBÓTICA

EL6BA,COMUNICAÇÕES ÓPTICAS

EL6BB,PROCESSAMENTO DA INFORMAÇÃO

EL6BC,TÓPICOS EM COMUNICAÇÕES

EL6BD,SISTEMAS DE COMUNICAÇÃO 1

EL6BE,SISTEMAS DE COMUNICAÇÃO 2

EL6CA,GESTÃO DA QUALIDADE

EL6CB,GESTÃO DE PROJETOS TECNOLÓGICOS

EL6CC,GESTÃO ESTRATÉGICA DE TECNOLOGIA E INOVAÇÃO

EL6CD,CONFIABILIDADE

EL6EE,FABRICAÇÃO ELETRÔNICA

EL64B,ELETROMAGNETISMO

EL65B,PROPAGAÇÃO DE ONDAS E GUIAS

EL65F,SENSORES E ATUADORES

EL66B,LINHAS DE TRANSMISSÃO E ANTENAS

EL75H,ENGENHARIA DE SISTEMAS

ES70B,PSICOLOGIA APLICADA AO TRABALHO

ES70J,A PRESENÇA AFRICANA NO BRASIL: TECNOLOGIA E TRABALHO

ES70N,HISTÓRIA DA TÉCNICA E DA TECNOLOGIA

ET7GL,LABORATÓRIO DE REDES DE SENSORES SEM FIO

ET7GM,REDES DE SENSORES SEM FIO

FCH7FC,TEORIA DAS CIÊNCIAS HUMANAS

FCH7GA,METROPOLIZAÇÃO CONTEMPORÂNEA: TECNOLOGIA E TERRITÓRIO

FCH7HB,HISTÓRIA GERAL DA ECONOMIA

FCH7HC,CAPITALISMO CONTEMPORÂNEO E ECONOMIA POLÍTICA

FCH7SC,TECNOLOGIA, TRABALHO E SAÚDE

FCH7XF,DIMENSÃO AMBIENTAL NA GESTÃO URBANA

FCH7XG,TECNOPOLÍTICAS DA SOCIEDADE CONTEMPORÂNEA

FI70A,MECÂNICA GERAL 1

FI70B,MECÂNICA GERAL 2

FI70D,FENÔMENOS DE TRANSPORTE 1

FI70E,FENÔMENOS DE TRANSPORTE 2

FI77B,ÓTICA

GE70D,ECONOMIA

GE70F,GESTÃO DE PESSOAS

ICSB55,CIÊNCIA DE DADOS E MULTIDISCIPLINARIDADE

IF6BV,COMPILADORES

IF6CJ,BIGDATA - PROCESSAMENTO E ANÁLISE DE DADOS EM GRANDE ESCALA

IF6CK,SERVIDORES E APLICAÇÕES PARA LINUX

IF6CM,NoSQL - BANCOS DE DADOS NÃO RELACIONAIS

LEM701,FRANCÊS PARA FINS ACADÊMICOS DD 1

LEM702,FRANCÊS PARA FINS ACADÊMICOS DD 2

LEM703,FRANCÊS PARA FINS ACADÊMICOS DD 3

MA7AV,TÓPICOS MATEMÁTICOS PARA ENGENHEIROS

MA70C,CÁLCULO NUMÉRICO

QB7AH,EDUCAÇÃO AMBIENTAL

QB7AI,ENERGIA E MEIO AMBIENTE

QB70F,DESENVOLVIMENTO SUSTENTÁVEL

QB74I,ECOLOGIA

CSX42,TRABALHO DE CONCLUSÃO DE CURSO 1

GE70H,GESTÃO FINANCEIRA

QB70E,CIÊNCIAS DO AMBIENTE

CSX43,TRABALHO DE CONCLUSÃO DE CURSO 2

EEF31,ÉTICA, PROFISSÃO E CIDADANIA

ENADE C,ENADE CONCLUINTE

ENADE I,ENADE INGRESSANTE

