('123676', '171652', {'weight': 1})
('123676', '177170', {'weight': 1})
('123676', '179402', {'weight': 1})
('123676', '190502', {'weight': 1})
('123676', '193632', {'weight': 1})
('123676', '193637', {'weight': 1})
('123676', '202250', {'weight': 1})
('123676', '202252', {'weight': 1})
('123676', '202254', {'weight': 1})
('123676', '202256', {'weight': 1})
('123676', '202417', {'weight': 1})
('123676', '202689', {'weight': 1})
('123676', '202696', {'weight': 1})
('123676', '208887', {'weight': 1})
('123676', '212675', {'weight': 1})
('123676', '213596', {'weight': 1})
('123676', '190512', {'weight': 1})
('123676', '198545', {'weight': 1})
('123676', '202698', {'weight': 1})
('123676', '202261', {'weight': 1})
('123676', '176199', {'weight': 1})
('123676', '202266', {'weight': 1})
('123676', '212651', {'weight': 1})
('123676', '119255', {'weight': 1})
('123676', '157889', {'weight': 1})
('123676', '123736', {'weight': 1})
('123676', '150878', {'weight': 1})
('123676', '150892', {'weight': 1})
('123676', '151217', {'weight': 1})
('123676', '156158', {'weight': 1})
('123676', '158257', {'weight': 1})
('123676', '159067', {'weight': 1})
('123676', '160839', {'weight': 1})
('123676', '160852', {'weight': 1})
('123676', '161216', {'weight': 1})
('123676', '161226', {'weight': 1})
('123676', '165431', {'weight': 1})
('123676', '165432', {'weight': 1})
('123676', '165685', {'weight': 1})
('123676', '165892', {'weight': 1})
('123676', '165895', {'weight': 1})
('123676', '166050', {'weight': 1})
('123676', '171740', {'weight': 1})
('123676', '171745', {'weight': 1})
('123676', '171754', {'weight': 1})
('123676', '172045', {'weight': 1})
('123676', '172046', {'weight': 1})
('123676', '172207', {'weight': 1})
('123676', '172248', {'weight': 1})
('123676', '175962', {'weight': 1})
('123676', '179393', {'weight': 1})
('123676', '179397', {'weight': 1})
('123676', '182913', {'weight': 1})
('123676', '183413', {'weight': 1})
('123676', '191284', {'weight': 1})
('123676', '198372', {'weight': 1})
('123676', '198543', {'weight': 1})
('123676', '136716', {'weight': 1})
('123676', '136720', {'weight': 1})
('123676', '155125', {'weight': 1})
('123676', '160846', {'weight': 1})
('123676', '165565', {'weight': 1})
('123676', '165898', {'weight': 1})
('123676', '169044', {'weight': 1})
('123676', '177422', {'weight': 1})
('123676', '179645', {'weight': 1})
('123676', '179821', {'weight': 1})
('123676', '183016', {'weight': 1})
('123676', '186026', {'weight': 1})
('123676', '193634', {'weight': 1})
('123676', '202688', {'weight': 1})
('123676', '161840', {'weight': 1})
('123676', '51969', {'weight': 1})
('123676', '113582', {'weight': 1})
('123676', '124406', {'weight': 1})
('123676', '125585', {'weight': 1})
('123676', '131755', {'weight': 1})
('123676', '136043', {'weight': 1})
('123676', '145760', {'weight': 1})
('123676', '152094', {'weight': 1})
('123676', '153843', {'weight': 1})
('123676', '160832', {'weight': 1})
('123676', '160835', {'weight': 1})
('123676', '160843', {'weight': 1})
('123676', '160854', {'weight': 1})
('123676', '161072', {'weight': 1})
('123676', '161104', {'weight': 1})
('123676', '161222', {'weight': 1})
('123676', '161532', {'weight': 1})
('123676', '161838', {'weight': 1})
('123676', '161839', {'weight': 1})
('123676', '165430', {'weight': 1})
('123676', '165564', {'weight': 1})
('123676', '165682', {'weight': 1})
('123676', '165683', {'weight': 1})
('123676', '165686', {'weight': 1})
('123676', '165687', {'weight': 1})
('123676', '165689', {'weight': 1})
('123676', '165691', {'weight': 1})
('123676', '166078', {'weight': 1})
('123676', '167374', {'weight': 1})
('123676', '169049', {'weight': 1})
('123676', '169315', {'weight': 1})
('123676', '171753', {'weight': 1})
('123676', '172038', {'weight': 1})
('123676', '172041', {'weight': 1})
('123676', '172047', {'weight': 1})
('123676', '172306', {'weight': 1})
('123676', '172973', {'weight': 1})
('123676', '175798', {'weight': 1})
('123676', '193633', {'weight': 1})
('123676', '194218', {'weight': 1})
('123676', '208880', {'weight': 1})
('123677', '179944', {'weight': 1})
('123677', '11357', {'weight': 1})
('123677', '110307', {'weight': 1})
('123677', '168864', {'weight': 1})
('123677', '212903', {'weight': 1})
('123677', '224204', {'weight': 1})
('123677', '250128', {'weight': 1})
('123677', '250152', {'weight': 1})
('123677', '251697', {'weight': 1})
('123677', '219036', {'weight': 1})
('123677', '119255', {'weight': 1})
('123677', '157889', {'weight': 1})
('123677', '160838', {'weight': 1})
('123677', '161103', {'weight': 1})
('123677', '177424', {'weight': 1})
('123677', '202690', {'weight': 1})
('123677', '250148', {'weight': 1})
('123677', '129034', {'weight': 1})
('123677', '150887', {'weight': 1})
('123677', '147820', {'weight': 1})
('123677', '198538', {'weight': 1})
('123677', '186224', {'weight': 1})
('123677', '90293', {'weight': 1})
('123677', '90327', {'weight': 1})
('123677', '104768', {'weight': 1})
('123677', '125626', {'weight': 1})
('123677', '156565', {'weight': 1})
('123677', '160847', {'weight': 1})
('123677', '160851', {'weight': 1})
('123677', '172409', {'weight': 1})
('123677', '202703', {'weight': 1})
('123677', '156158', {'weight': 1})
('123677', '172248', {'weight': 1})
('123677', '175962', {'weight': 1})
('123677', '198372', {'weight': 1})
('123677', '198543', {'weight': 1})
('123677', '104372', {'weight': 1})
('123677', '136716', {'weight': 1})
('123677', '136720', {'weight': 1})
('123677', '165565', {'weight': 1})
('123677', '175469', {'weight': 1})
('123677', '179645', {'weight': 1})
('123677', '183016', {'weight': 1})
('123677', '186026', {'weight': 1})
('123677', '124406', {'weight': 1})
('123677', '136043', {'weight': 1})
('123677', '160854', {'weight': 1})
('123677', '161104', {'weight': 1})
('123677', '161839', {'weight': 1})
('123677', '165564', {'weight': 1})
('123677', '165683', {'weight': 1})
('123677', '165686', {'weight': 1})
('123677', '166078', {'weight': 1})
('123677', '167374', {'weight': 1})
('123677', '169049', {'weight': 1})
('123677', '172047', {'weight': 1})
('123677', '175798', {'weight': 1})
('123677', '194218', {'weight': 1})
('123677', '208880', {'weight': 1})
('123677', '157060', {'weight': 1})
('123677', '186031', {'weight': 1})
('123677', '198537', {'weight': 1})
('123677', '124741', {'weight': 1})
('123677', '179819', {'weight': 1})
('123677', '182856', {'weight': 1})
('123677', '186021', {'weight': 1})
('123677', '186036', {'weight': 1})
('123677', '190493', {'weight': 1})
('123677', '190615', {'weight': 1})
('123677', '171652', {'weight': 1})
('123677', '190502', {'weight': 1})
('123677', '193637', {'weight': 1})
('123677', '202252', {'weight': 1})
('123677', '202256', {'weight': 1})
('123677', '202417', {'weight': 1})
('123677', '202689', {'weight': 1})
('123677', '202696', {'weight': 1})
('123677', '212675', {'weight': 1})
('123677', '213596', {'weight': 1})
('123677', '198545', {'weight': 1})
('123677', '202698', {'weight': 1})
('123677', '136731', {'weight': 1})
('123677', '179385', {'weight': 1})
('123677', '136734', {'weight': 1})
('123677', '185876', {'weight': 1})
('123677', '190706', {'weight': 1})
('123677', '212661', {'weight': 1})
('123677', '202253', {'weight': 1})
('123686', '156158', {'weight': 1})
('123686', '179393', {'weight': 1})
